INFO  - 2014-11-30 02:38:18.325; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/commons-compress-1.7.jar' to classloader
INFO  - 2014-11-30 02:38:18.325; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/fontbox-1.8.4.jar' to classloader
INFO  - 2014-11-30 02:38:18.325; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.326; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/vorbis-java-tika-0.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.326; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/juniversalchardet-1.0.3.jar' to classloader
INFO  - 2014-11-30 02:38:18.326; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/dom4j-1.6.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.326; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/xmlbeans-2.6.0.jar' to classloader
INFO  - 2014-11-30 02:38:18.326; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/isoparser-1.0-RC-1.jar' to classloader
INFO  - 2014-11-30 02:38:18.326; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/bcprov-jdk15-1.45.jar' to classloader
INFO  - 2014-11-30 02:38:18.327; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/tagsoup-1.2.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.327; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.327; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/vorbis-java-core-0.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.327; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/poi-ooxml-schemas-3.10.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.327; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/boilerpipe-1.1.0.jar' to classloader
INFO  - 2014-11-30 02:38:18.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/poi-3.10.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/aspectjrt-1.6.11.jar' to classloader
INFO  - 2014-11-30 02:38:18.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/xz-1.4.jar' to classloader
INFO  - 2014-11-30 02:38:18.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/tika-xmp-1.5.jar' to classloader
INFO  - 2014-11-30 02:38:18.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/icu4j-53.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.328; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/poi-scratchpad-3.10.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.329; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/tika-parsers-1.5.jar' to classloader
INFO  - 2014-11-30 02:38:18.329; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/xercesImpl-2.9.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.329; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/extraction/lib/jempbox-1.8.4.jar' to classloader
INFO  - 2014-11-30 02:38:18.330; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/dist/solr-cell-4.10.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.331; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/carrot2-mini-3.9.0.jar' to classloader
INFO  - 2014-11-30 02:38:18.331; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2014-11-30 02:38:18.331; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/simple-xml-2.7.jar' to classloader
INFO  - 2014-11-30 02:38:18.331; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/jackson-mapper-asl-1.9.13.jar' to classloader
INFO  - 2014-11-30 02:38:18.332; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/hppc-0.5.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.332; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/mahout-math-0.6.jar' to classloader
INFO  - 2014-11-30 02:38:18.332; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/attributes-binder-1.2.1.jar' to classloader
INFO  - 2014-11-30 02:38:18.332; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/clustering/lib/mahout-collections-1.0.jar' to classloader
INFO  - 2014-11-30 02:38:18.333; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/dist/solr-clustering-4.10.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.334; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/langid/lib/jsonic-1.2.7.jar' to classloader
INFO  - 2014-11-30 02:38:18.334; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/langid/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2014-11-30 02:38:18.335; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/dist/solr-langid-4.10.2.jar' to classloader
INFO  - 2014-11-30 02:38:18.335; org.apache.solr.core.SolrResourceLoader; Adding 'file:/home/homeski/Documents/michiko-web-search/solr-4.10.2/contrib/velocity/lib/velocity-1.7.jar' to classloader
